SiteName,MonitorDate,Concentration,ItemUnit
彰化,2018-04-02,39,μg/m3
忠明,2018-04-02,34,μg/m3
豐原,2018-04-02,34,μg/m3
三義,2018-04-02,33,μg/m3
苗栗,2018-04-02,31,μg/m3
新竹,2018-04-02,36,μg/m3
竹東,2018-04-02,33,μg/m3
平鎮,2018-04-02,40,μg/m3
桃園,2018-04-02,37,μg/m3
萬華,2018-04-02,29,μg/m3
士林,2018-04-02,29,μg/m3
板橋,2018-04-02,31,μg/m3
汐止,2018-04-02,26,μg/m3
基隆,2018-04-02,23,μg/m3
馬公,2018-03-30,16,μg/m3
金門,2018-03-30,15,μg/m3
馬祖,2018-03-30,18,μg/m3
宜蘭,2018-03-30,9,μg/m3
陽明,2018-03-30,7,μg/m3
花蓮,2018-03-30,9,μg/m3
臺東,2018-03-30,7,μg/m3
恆春,2018-03-30,7,μg/m3
屏東,2018-03-30,32,μg/m3
前金,2018-03-30,28,μg/m3
美濃,2018-03-30,27,μg/m3
臺南,2018-03-30,31,μg/m3
新營,2018-03-30,33,μg/m3
嘉義,2018-03-30,33,μg/m3
朴子,2018-03-30,35,μg/m3
斗六,2018-03-30,34,μg/m3
南投,2018-03-30,33,μg/m3
彰化,2018-03-30,34,μg/m3
忠明,2018-03-30,29,μg/m3
豐原,2018-03-30,22,μg/m3
三義,2018-03-30,22,μg/m3
苗栗,2018-03-30,20,μg/m3
新竹,2018-03-30,12,μg/m3
竹東,2018-03-30,10,μg/m3
平鎮,2018-03-30,10,μg/m3
桃園,2018-03-30,10,μg/m3
萬華,2018-03-30,10,μg/m3
士林,2018-03-30,9,μg/m3
板橋,2018-03-30,10,μg/m3
汐止,2018-03-30,10,μg/m3
基隆,2018-03-30,9,μg/m3
馬公,2018-03-27,24,μg/m3
金門,2018-03-27,26,μg/m3
馬祖,2018-03-27,33,μg/m3
宜蘭,2018-03-27,18,μg/m3
陽明,2018-03-27,15,μg/m3
花蓮,2018-03-27,14,μg/m3
臺東,2018-03-27,14,μg/m3
恆春,2018-03-27,13,μg/m3
屏東,2018-03-27,37,μg/m3
前金,2018-03-27,46,μg/m3
美濃,2018-03-27,,μg/m3
臺南,2018-03-27,45,μg/m3
新營,2018-03-27,47,μg/m3
嘉義,2018-03-27,49,μg/m3
朴子,2018-03-27,45,μg/m3
斗六,2018-03-27,48,μg/m3
南投,2018-03-27,39,μg/m3
彰化,2018-03-27,38,μg/m3
忠明,2018-03-27,35,μg/m3
豐原,2018-03-27,31,μg/m3
三義,2018-03-27,30,μg/m3
苗栗,2018-03-27,32,μg/m3
新竹,2018-03-27,29,μg/m3
竹東,2018-03-27,28,μg/m3
平鎮,2018-03-27,32,μg/m3
桃園,2018-03-27,32,μg/m3
萬華,2018-03-27,20,μg/m3
士林,2018-03-27,21,μg/m3
板橋,2018-03-27,24,μg/m3
汐止,2018-03-27,21,μg/m3
基隆,2018-03-27,19,μg/m3
馬公,2018-03-24,21,μg/m3
金門,2018-03-24,38,μg/m3
馬祖,2018-03-24,34,μg/m3
宜蘭,2018-03-24,22,μg/m3
陽明,2018-03-24,22,μg/m3
花蓮,2018-03-24,24,μg/m3
臺東,2018-03-24,19,μg/m3
恆春,2018-03-24,21,μg/m3
屏東,2018-03-24,29,μg/m3
前金,2018-03-24,25,μg/m3
美濃,2018-03-24,28,μg/m3
臺南,2018-03-24,29,μg/m3
新營,2018-03-24,32,μg/m3
嘉義,2018-03-24,29,μg/m3
朴子,2018-03-24,35,μg/m3
斗六,2018-03-24,31,μg/m3
南投,2018-03-24,29,μg/m3
彰化,2018-03-24,32,μg/m3
忠明,2018-03-24,33,μg/m3
豐原,2018-03-24,24,μg/m3
三義,2018-03-24,22,μg/m3
苗栗,2018-03-24,23,μg/m3
新竹,2018-03-24,20,μg/m3
竹東,2018-03-24,19,μg/m3
平鎮,2018-03-24,22,μg/m3
桃園,2018-03-24,25,μg/m3
萬華,2018-03-24,24,μg/m3
士林,2018-03-24,24,μg/m3
板橋,2018-03-24,24,μg/m3
汐止,2018-03-24,25,μg/m3
基隆,2018-03-24,25,μg/m3
馬公,2018-03-21,,μg/m3
金門,2018-03-21,13,μg/m3
馬祖,2018-03-21,10,μg/m3
宜蘭,2018-03-21,8,μg/m3
陽明,2018-03-21,5,μg/m3
花蓮,2018-03-21,9,μg/m3
臺東,2018-03-21,7,μg/m3
恆春,2018-03-21,9,μg/m3
屏東,2018-03-21,15,μg/m3
前金,2018-03-21,18,μg/m3
美濃,2018-03-21,13,μg/m3
臺南,2018-03-21,15,μg/m3
新營,2018-03-21,15,μg/m3
嘉義,2018-03-21,15,μg/m3
朴子,2018-03-21,14,μg/m3
斗六,2018-03-21,15,μg/m3
南投,2018-03-21,13,μg/m3
彰化,2018-03-21,10,μg/m3
忠明,2018-03-21,11,μg/m3
豐原,2018-03-21,10,μg/m3
三義,2018-03-21,11,μg/m3
苗栗,2018-03-21,10,μg/m3
新竹,2018-03-21,10,μg/m3
竹東,2018-03-21,11,μg/m3
平鎮,2018-03-21,11,μg/m3
桃園,2018-03-21,11,μg/m3
萬華,2018-03-21,10,μg/m3
士林,2018-03-21,9,μg/m3
板橋,2018-03-21,10,μg/m3
汐止,2018-03-21,10,μg/m3
基隆,2018-03-21,9,μg/m3
馬公,2018-03-18,20,μg/m3
金門,2018-03-18,33,μg/m3
馬祖,2018-03-18,25,μg/m3
宜蘭,2018-03-18,11,μg/m3
陽明,2018-03-18,13,μg/m3
花蓮,2018-03-18,11,μg/m3
